profession,sector,displacement_risk_tier,primary_tasks_at_risk,primary_protected_tasks,estimated_task_automation_pct_current,estimated_task_automation_pct_5yr,estimated_task_automation_pct_10yr,key_defense,notes
Accountant,White-collar,High,Bookkeeping / tax prep / standard reporting / variance analysis,Complex tax strategy / client advisory / regulated sign-off / audit judgment,45,65,75,Get CPA + specialize in advisory and strategy not just compliance,Big Four already reducing junior headcount
Paralegal,White-collar,High,Contract review / legal research / document drafting / due diligence,Court appearances / client relationships / novel legal judgment,50,70,80,Shift toward specialized litigation support or become supervised AI operator,Harvey AI and Casetext are transforming this role now
Data entry clerk,White-collar,Very High,All primary tasks,None significant,85,95,99,Exit this role — upskill into data analysis or adjacent technical roles,Most directly and immediately threatened by current AI
Administrative assistant,White-collar,High,Scheduling / email drafting / document management / routine coordination,Complex stakeholder management / organizational judgment / trusted advisor role,50,70,80,Move toward chief-of-staff or operations specialist role with broader scope,Executive assistants with deep organizational knowledge are more resilient
Financial analyst,White-collar,High,Data gathering / standard report generation / model building from templates,Investment thesis development / client relationships / judgment calls under uncertainty,40,60,70,Specialize in qualitative judgment and client-facing advisory,Quant roles more threatened than qualitative strategic analysis
Journalist / Reporter,White-collar,Medium,Routine reporting / data journalism / press release coverage,Investigative work / source relationships / editorial judgment / accountability reporting,30,50,60,Build source networks and investigative capability — AI cannot replace human sources,Sports scores and earnings reports already largely automated
Teacher (K-12),White-collar,Medium,Content delivery / lesson planning / standard grading / administrative tasks,Mentorship / social-emotional support / classroom management / student relationships,25,40,50,Lean into relationship and social-emotional dimensions of teaching,Legal safeguarding requirements protect classroom teacher roles
Nurse (RN),White-collar,Low-Medium,Documentation / routine monitoring / medication management logistics,Direct patient care / clinical judgment / emotional support / complex decision-making,20,35,45,Documentation automation frees nurses for higher-value patient contact,Nursing shortage means risk is career change not unemployment
Software engineer (junior),White-collar,High,Boilerplate coding / bug fixing / unit test writing / documentation,None significant at this level,50,70,80,Accelerate to mid/senior level fast — focus on system design not implementation,Junior headcount already contracting at many tech companies
Software engineer (senior/staff),White-collar,Low-Medium,Routine implementation / code review of simple PRs,Architecture / system design / cross-functional leadership / complex debugging,20,35,45,Double down on design and communication skills,Senior engineers using AI are dramatically more productive — a competitive advantage
Civil / Structural engineer,White-collar,Low-Medium,Standard calculations / routine drawing production / basic compliance checking,Novel structural problems / site judgment / licensed sign-off / client advisory,30,45,55,Maintain PE license / develop specialty in complex or novel structure types,PE stamp and liability protection is a strong institutional moat
Researcher / Scientist,White-collar,Medium,Literature review / data analysis / standard statistical modeling / grant writing,Hypothesis generation / experimental design / novel scientific judgment / peer relationships,30,45,55,Develop deep domain expertise + learn to use AI as a research multiplier,AI excels at processing known information — discovery of new knowledge is still human
Electrician,Blue-collar,Low,Basic estimating / code lookup / scheduling,All physical installation / troubleshooting / licensed sign-off / site adaptation,10,20,30,Get Master Electrician license / add solar and EV charging specialization,Growing demand from electrification more than offsets any AI efficiency
Plumber,Blue-collar,Low,Estimating / scheduling / basic customer communication,All physical installation / diagnosis / emergency response / site adaptation,10,20,30,License + specialization in commercial or industrial,Physical work in variable environments is genuinely hard to robotize
Welder,Blue-collar,Medium,Highly repetitive factory welding on standardized parts,Complex structural welding / pipe welding / inspection / custom fabrication,30,45,55,Pursue certified welding inspector (CWI) or pressure vessel certification,Automotive factory welding is already largely robotic — skilled pipe and structural welding is not
Construction worker (general),Blue-collar,Medium,Standardized repetitive tasks / materials handling,Complex physical problem-solving / variable site conditions / coordination,20,35,45,Develop specialty skills / pursue supervisory certifications,Construction robotics advancing but still far from human adaptability in real sites
Mechanic / Auto technician,Blue-collar,Low-Medium,Simple diagnostics / oil changes / standard maintenance,Complex multi-system diagnosis / novel failures / EV high voltage systems,20,35,45,EV certification is essential — the technology is changing the trade,AI diagnostic tools are powerful assistants not replacements — still need human hands
Surgeon,White-collar,Low,Routine standardized procedures (some surgical robotics assist),Complex judgment / novel intraoperative decisions / patient relationships / accountability,10,20,30,Maintain surgical skill breadth / develop expertise in robotic-assisted surgery,Da Vinci and similar robots assist surgeons — they are not autonomous
Therapist / Psychologist,White-collar,Low,Session notes / appointment scheduling / standard psychoeducation,Therapeutic relationship / clinical judgment / crisis intervention / complex case management,15,25,35,Relationship and clinical judgment are structurally protected,AI therapy apps exist but do not replace licensed human therapists for serious conditions
Lawyer (partner / senior),White-collar,Low-Medium,Research / document review / standard drafting,Strategy / court presence / client relationships / novel legal argument / judgment,25,40,50,Relationships and judgment are the value — AI makes you more efficient at everything else,Junior lawyer roles are more threatened than senior roles
